San,Fen,UCI
Rf2,1r3r1k/1p1q1p1p/p1n1pPp1/2p1P3/P1Bp4/NP1PnQ1P/2P3P1/2R2RK1 w - - 1 20,f1f2
Kxa3,8/8/8/p6p/7P/Pk6/8/1K6 b - - 1 43,b3a3
c4,rnbq1rk1/ppp1ppbp/3p1np1/8/3P4/5NP1/PPP1PPBP/RNBQ1RK1 w - - 0 6,c2c4
Nbd7,rn3rk1/ppp2ppp/q3pn2/4Q3/3P4/P1B2N2/1PP2PPP/R4RK1 b - - 2 12,b8d7
Kd3,8/4b1p1/7p/1pp2k2/8/1P2BP1P/4K3/8 w - - 0 41,e2d3
Nf5,r2q1rk1/pp4bp/2p1b1p1/4p3/2Pn4/4PPPN/PB4BP/2RQ1RK1 b - - 0 18,d4f5
g4,r4rk1/ppp1qppp/1nn5/7b/4p3/P3P2P/BPQP1PP1/R1B1K1NR w KQ - 1 14,g2g4
a3,3r1r2/2p2pkp/4pn2/4N1B1/p1P5/2q5/2P1QPP1/5RK1 b - - 1 24,a4a3
Rd1+,8/4kp2/4p1p1/6P1/3PR3/3K4/5P2/2r5 b - - 9 48,c1d1
Nc5,r2q1rk1/pp2ppbp/n1p2np1/5b2/2P5/PPN2NP1/3BPPBP/R1Q1K2R b KQ - 0 11,a6c5
axb3,2r5/4bk2/3p4/5P2/1p2P2P/1p6/P1PB4/1K5R w - - 0 32,a2b3
Kxg6,8/5p1k/4q1P1/1pB5/1K2P3/5P1P/8/8 b - - 0 57,h7g6
Rb4,8/8/1R1KP3/5b2/2B3kp/1P6/8/4r3 w - - 0 49,b6b4
Kh1,r1b2k2/1pq1pp1p/2n3p1/p1P5/2Nb1P2/PP1Bp3/R1P3PP/3Q1RK1 w - - 2 17,g1h1
Bf4,r3kb1r/pp2pppp/2nq1n2/3N4/2B5/5Q2/PPP2PPP/R1B1K2R w KQkq - 1 10,c1f4
Kxb4,8/4k3/4p1p1/6Pp/1rK2P1P/8/8/8 w - - 0 54,c4b4
Qh5,r1b2rk1/pp2ppbp/2pp1np1/q7/P1P1P3/1N2BN1P/1PP2PP1/R2Q1RK1 b - - 2 11,a5h5
Qxd8,r2q1rk1/1bp1b1pp/p3pn2/1pn5/5B2/1BN1PN2/PP3PPP/2RQ1RK1 w - - 0 13,d1d8
c5,1k1r3r/2p1p3/1p6/pB2Pppp/Rn6/1P2P1P1/1P3PP1/2R3K1 b - - 0 24,c7c5
Nxb4,r7/2p2pn1/p1k1p3/3nP1B1/1P6/1P6/2P2PP1/2KR4 b - - 0 24,d5b4
Qxc5,1kr3r1/1b3pbR/p1q1p1p1/2BpP3/1p3P2/2NBQ1P1/PPP5/1K1R4 b - - 0 25,c6c5
Qxb2,8/pp3p1k/6R1/7p/5PbP/1B2P1K1/Pq1Q2P1/1r6 w - - 1 32,d2b2
Rd4,3r2k1/p2r1p2/1p2pbpp/2p5/2P1BPP1/P1qP2Q1/6K1/1R2R3 b - - 0 31,d7d4
Nxf6,8/8/4kB1R/5p2/4n3/7P/6P1/6K1 b - - 0 63,e4f6
d5,2kr1b1r/ppp1pppp/2n2n2/7q/2PP2b1/5N2/PP2BPPP/RNBQ1RK1 w - - 3 8,d4d5
Rxa8,R4r1k/1p4pp/2pb4/3p4/P7/1B4Nq/2PQ1P2/4R1K1 b - - 0 30,f8a8
O-O,r2qk2r/ppp1bppp/1nnp2b1/8/2PP4/1PNB1P2/P3N1PP/R1BQ1RK1 b kq - 0 11,e8g8
Nxb5,q3k2r/1bp2pp1/2np1n1p/1pb1p3/4P3/1BNP1N2/1PP2PPP/2BQ1RK1 w k - 0 12,c3b5
b4,r1bq1rk1/2p2p1p/p2p1npQ/1p1Pp3/2PnP3/2N2P2/PP2N1PP/2KR1B1R b - - 2 12,b5b4
Rh1,2r2r2/1p4k1/p2p1np1/P2Ppp1p/1Pp1P2P/2P1BPP1/3NK2R/8 w - - 8 45,h2h1
f4,r2qrbk1/pp3ppp/3pbn2/2p5/P3P1P1/2N1B1NP/1PPQ1PK1/R4R2 w - - 2 17,f2f4
Nbd2,r2q1rk1/pbpnbppp/1p1ppn2/8/2PP4/1P3NP1/PB2PPBP/RN1Q1RK1 w - - 1 9,b1d2
O-O,rnbq1rk1/pp3pbp/2p3p1/3p4/3P4/2N1PN2/PP2BPPP/R2QK2R w KQ - 0 11,e1g1
dxe5,r2qk2r/pp3ppp/2np1n2/2p1p3/2PP2b1/2PBPN2/P1Q2PPP/R1B2RK1 w kq - 2 10,d4e5
Rxa4,r3b1k1/3n1pp1/2N1pn1p/3p4/R1pPP3/2P4P/3N1PP1/3B2K1 b - - 0 26,a8a4
Bc1,6k1/8/6p1/3pP2p/pPq2Pp1/P1P3P1/1BKR4/5r2 w - - 9 42,b2c1
Bb5+,rnbqk1nr/pp2bppp/3p4/2pP4/8/2N5/PPP2PPP/R1BQKBNR w KQkq - 2 6,f1b5
Rfe8,2r2rk1/p4pbp/1n4p1/1QN2b2/2P5/1P2p3/P5PP/4RR1K b - - 1 24,f8e8
f5,r1bq3r/1p1nbpk1/p1p1pn1p/2PpN3/N2P1Pp1/3BP1B1/PPQ3PP/2R2RK1 w - - 0 17,f4f5
dxe5,r3k2r/pp1nbppp/1q1p1n2/2pPP3/4P3/2N2N2/P1PBQ1PP/R4RK1 b kq - 0 12,d6e5
Kxe4,8/1p2pb1p/1r1p1k2/pBr4p/P1P1pP1P/1P2K3/3R2P1/R7 w - - 0 28,e3e4
exf6,r1bqk3/pp4pp/2n2n2/4P3/8/1Q3N2/P4PPP/b1B2RK1 w - - 0 17,e5f6
Nxf2,r1b2rk1/pp2ppBp/2q3p1/2p5/2PPn2P/3QP3/PP3PP1/2KR1B1R b - - 0 14,e4f2
Bf5,2b5/7k/pp1p2pp/2n1b3/P1Bp4/BP2r2P/2P1NKP1/5R2 b - - 12 32,c8f5
Nxe6+,3nk3/R7/3PP3/1pK5/1P6/P4P2/3r4/8 b - - 2 52,d8e6
a3,r1bq1rk1/1pp3pp/p1np1n2/4pp2/1bP1P3/2NP1N2/PP2BPPP/R1BQ1RK1 w - - 4 10,a2a3
c3,r1bqr1k1/3nbppp/2pp1n2/p3p3/Pp1PP3/3B1NNP/1PP2PP1/R1BQR1K1 w - - 2 12,c2c3
Nxa3,rnbqk2r/pp3ppp/4pn2/8/2pP4/p4NP1/1P2PPBP/RN1QK2R w KQkq - 0 9,b1a3
c6,rnbq1rk1/ppp1b1pp/3p1n2/4pp2/2P1P3/2NP2P1/PP2NPBP/R1BQK2R b KQ - 2 7,c7c6
cxd4,r4rk1/2q1bpp1/p1b1pn1p/1p2N3/P1ppPP2/2P1BB1P/6P1/RQR3K1 w - - 0 20,c3d4
h6,r3r3/1b1q1knp/pp3p2/3p3P/PB1P2P1/2N5/1P1RpP2/1Q2K2R w K - 1 25,h5h6
O-O-O,r1b1kb1r/1p3ppp/pqnpp3/6B1/4PPn1/1NN5/PPPQ2PP/R3KB1R w KQkq - 5 10,e1c1
Rae1,r4rk1/1bp1qppp/1ppp1n2/8/4P3/2NB3P/PPPQ1PP1/R4RK1 w - - 2 13,a1e1
